001 A Theory of Justice, John Rawls, General Works
408 Empires of the Word: A Language History of the World, Nicholas Ostler, Language

409 Our Magnificent Bastard Tongue: The Untold History of English, John McWhorter, Language

410 The Adventure of English: The Biography of a Language, Melvyn Bragg, Language

511 Applications of Maxwell's Equations , John Cochran , Natural Science

512 Foundations of Epidemiology , Marit Bovbjerg , Natural Science

513 Human Anatomy Lab Manual , Malgosia Wilk-Blaszczak , Natural Science

514 Bending the Curve: Climate Change Solutions , Roger Aines , Natural Science

515 Conservation Biology in Sub-Saharan Africa , John Wilson , Natural Science

516 A Laboratory Guide to Clinical Hematology , Valentin Villatoro , Natural Science

517 University Physics I: Classical Mechanics , Julio Gea-Banacloche , Natural Science

518 Astronomy for Educators , Daniel Barth , Natural Science

519 Quantitative Ecology: A New Unified Approach , Clarence Lehman , Natural Science

520 Undergraduate Diagnostic Imaging Fundamentals , Brent Burbridge , Natural Science






111 The Lightning Thief , Rick Riordan , Fiction

112 A Bend In The River , V.S. Naipaul , Political Fiction

113 A Clockwork Orange , Anthony Burgess , Novel

114 A Dance To The Music Of Time (Series) , Anthony Powell , Novel 

115 A Farewell To Arms , Ernest Hemingway , Novel

116 A Handful Of Dust , Evelyn Waugh, Novel

117 A High Wind In Jamaica , Richard Hughes, Novel

118 A House For Mr Biswas , V.S. Naipaul, Novel

119 A Passage To India , E.M. Forster, Novel

120 A Portrait Of The Artist As A Young Man , James Joyce, Novel

121 A Room With A View , E.M. Forster, Novel

122 All The King’S Men , Robert Penn Warren, Novel

123 An American Tragedy , Theodore Dreiser 

124 Angle Of Repose , Wallace Stegner

125 Animal Farm , George Orwell

126 Appointment In Samarra , John O’Hara

127 As I Lay Dying , William Faulkner

128 Brave New World , Aldous Huxley

129 Brideshead Revisited , Evelyn Waugh

130 Catch-22 , Joseph Heller

131 Darkness At Noon , Arthur Koestler

132 Death Comes For The Archbishop , Willa Cather

133 Deliverance , James Dickey

134 Finnegans Wake , James Joyce

135 From Here To Eternity , James Jones

136 Go Tell It On The Mountain , James Baldwin

137 Heart Of Darkness , Joseph Conrad

138 Henderson The Rain King , Saul Bellow

139 Howards End , E.M. Forster

140 Invisible Man , Ralph Ellison

141 Ironweed , William Kennedy

142 Kim , Rudyard Kipling

143 Light In August , William Faulkner

144 Lolita , Vladimir Nabokov

145 Lord Jim , Joseph Conrad

146 Lord Of The Flies , William Golding

147 Loving , Henry Green

148 Main Street , Sinclair Lewis

149 Midnight’S Children , Salman Rushdie

150 Native Son , Richard Wright

151 Nostromo , Joseph Conrad

152 Of Human Bondage , W. Somerset Maugham

153 On The Road , Jack Kerouac

154 Pale Fire , Vladimir Nabokov

155 Parade’S End , Ford Madox Ford

156 Point Counter Point , Aldous Huxley

157 Portnoy’S Complaint , Philip Roth

158 Ragtime , E.L. Doctorow

159 Scoop , Evelyn Waugh

160 Sister Carrie , Theodore Dreiser

161 Slaughterhouse-Five , Kurt Vonnegut

162 Sons And Lovers , D.H. Lawrence

163 Sophie’S Choice , William Styron

164 Tender Is The Night , F. Scott Fitzgerald

165 The Adventures Of Augie March , Saul Bellow

166 The Age Of Innocence , Edith Wharton

167 The Alexandria Quartet , Lawrence Durrell

168 The Ambassadors , Henry James

169 The Bridge Of San Luis Rey , Thornton Wilder

170 The Call Of The Wild , Jack London

171 The Catcher In The Rye , J.D. Salinger

172 The Day Of The Locust , Nathanael West

173 The Death Of The Heart , Elizabeth Bowen

174 The Ginger Man , J.P. Donleavy

175 The Golden Bowl , Henry James

176 The Good Soldier , Ford Madox Ford

177 The Grapes Of Wrath , John Steinbeck

178 The Great Gatsby , F. Scott Fitzgerald

179 The Heart Is A Lonely Hunter , Carson Mccullers

180 The Heart Of The Matter , Graham Greene

181 The House Of Mirth , Edith Wharton

182 The Magnificent Ambersons , Booth Tarkington

183 The Magus , John Fowles

184 The Maltese Falcon , Dashiell Hammett

185 The Moviegoer , Walker Percy

186 The Naked And The Dead , Norman Mailer

187 The Old Wives’ Tale , Arnold Bennett

188 The Postman Always Rings Twice , James M. Cain

189 The Prime Of Miss Jean Brodie , Muriel Spark

190 The Rainbow , D.H. Lawrence

191 The Secret Agent , Joseph Conrad

192 The Sheltering Sky , Paul Bowles

193 The Sound And The Fury , William Faulkner

194 The Studs Lonigan Trilogy , James T. Farrell

195 The Sun Also Rises , Ernest Hemingway

196 The Wapshot Chronicles , John Cheever

197 The Way Of All Flesh , Samuel Butler

198 The Wings Of The Dove , Henry James

199 To The Lighthouse , Virginia Woolf

200 Tobacco Road , Erskine Caldwell

201 Tropic Of Cancer , Henry Miller

202 U.S.A.(Trilogy) , John Dos Passos

203 Ulysses , James Joyce

204 Under The Net , Iris Murdoch

205 Under The Volcano , Malcolm Lowry

206 Wide Sargasso Sea , Jean Rhys

207 Winesburg, Ohio , Sherwood Anderson

208 Women In Love , D.H. Lawrence

209 Zuleika Dobson , Max Beerbohm
